0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	0
19	0
20	0
21	0
22	1
23	0
24	0
25	1
26	0
27	1
28	2
29	1
30	0
31	1
32	2
33	2
34	1
35	2
36	2
37	0
38	3
39	1
40	2
41	2
42	2
43	0
44	0
45	2
46	1
47	5
48	11
49	10
50	27
51	15
52	10
53	10
54	7
55	5
56	5
57	9
58	10
59	6
60	16
61	12
62	15
63	8
64	4
65	11
66	5
67	6
68	10
69	10
70	10
71	15
72	14
73	20
74	25
75	26
76	20
77	26
78	36
79	37
80	28
81	16
82	13
83	22
84	19
85	12
86	13
87	7
88	10
89	10
90	13
91	3
92	4
93	8
94	8
95	4
96	1
97	5
98	2
99	6
100	1
101	3
102	3
103	2
104	5
105	4
106	3
107	11
108	3
109	4
110	5
111	2
112	1
113	2
114	0
115	2
116	4
117	3
118	5
119	1
120	2
121	5
122	2
123	0
124	3
125	0
126	5
127	0
128	3
129	1
130	1
131	2
132	1
133	4
134	3
135	4
136	2
137	4
138	3
139	4
140	1
141	5
142	8
143	10
144	15
145	29
146	20
147	18
148	9
149	4
150	3
151	2
152	3
153	1
154	3
155	1
156	0
157	0
158	0
159	0
160	0
161	1
162	0
163	0
164	1
165	2
166	1
167	2
168	0
169	0
170	1
171	0
172	0
173	1
174	0
175	0
176	0
177	1
178	1
179	1
180	0
181	1
182	0
183	2
184	1
185	0
186	1
187	0
188	0
189	1
190	1
191	0
192	0
193	1
194	0
195	0
196	0
197	0
198	1
199	1
200	1
201	1
202	0
203	1
204	0
205	1
206	2
207	2
208	0
209	1
210	1
211	0
212	2
213	4
214	4
215	1
216	0
217	4
218	2
219	1
220	0
221	1
222	2
223	1
224	1
225	0
226	1
227	0
228	1
229	4
230	2
231	6
232	8
233	2
234	4
235	0
236	5
237	1
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
